# Claims ledger, area 'mergers': the head-on merger, the spiral merger (merger or escape, plunge and collapse, the curvature wall), controls and systematics.
# Columns and rules: claims.py --help.  Extractors: extract_mergers.py (conventions in its docstring).  Anchors also cover re-quotes in the abstract, captions, GW section, Discussion and Limitations.
id	tex	num	tol	status	extractor	args	anchors	source	checked	note
clmHeadonEnsembleFormation	0.5	0.5		auto	mergers_ensemble_at	{"ref": "merge_headon_flip_d8_v1c_latefreeze_t100", "runs": ["merge_headon_flip_d8_v1c_eps_p1e2_t100", "merge_headon_flip_d8_v1c_eps_m1e2_t100"], "t": 22.0, "cols": ["r_mots", "M_MS_mots"]}	and mass within $0.5\%$	campaign/04_binary_headon/{merge_headon_flip_d8_v1c_latefreeze_t100,merge_headon_flip_d8_v1c_eps_p1e2_t100,merge_headon_flip_d8_v1c_eps_m1e2_t100}/horizon_scan.dat, t = 22 rows; registry rows of both members		worst over both members of the MOTS coordinate radius r and M_MS against the unkicked V1c at t = 22: 0.52 % (M_MS of +eps). CAVEAT: read as the AREAL radius the members differ by 0.89 % (-eps) and 1.12 % (+eps), so 'radius within 0.5 %' holds only for the coordinate radius; the registry's 'within half a percent' lists R_mots 5.509 -> 5.447 too, which is 1.1 %
clmHeadonEnsembleEnd	100	100		auto	mergers_end_time	{"run": "merge_headon_flip_d8_v1c_eps_m1e2_t100"}	member tracks it to $t=100$ within	campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_m1e2_t100/run_tail.log		last ADVANCE 99.99875, no NaN
clmHeadonEnsembleTrackRadius	3	3	abs:1	auto	mergers_ensemble_track	{"ref": "merge_headon_flip_d8_v1c_latefreeze_t100", "run": "merge_headon_flip_d8_v1c_eps_m1e2_t100", "col": "R_mots", "t0": 30}	${\sim}3\%$ in radius	campaign/04_binary_headon/merge_headon_flip_d8_v1c_latefreeze_t100/horizon_scan.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_m1e2_t100/horizon_scan.dat; registry row of merge_headon_flip_d8_v1c_eps_m1e2_t100 ('within ~3 % on radius')		worst |dR/R| over the shared MOTS times t >= 30 = 2.1 % (t = 37), excluding V1c rows whose surface sits inside its own frozen core (r_mots <= 1.2 at t = 62-65, 77: fill artefacts, FIGURES.md). The coordinate radius r differs by 2.3-4.5 % over the same rows. approximate (~ / \approx in the text): tolerance one unit of the last printed digit.
clmHeadonEnsembleTrackMass	1	1	abs:1	auto	mergers_ensemble_track	{"ref": "merge_headon_flip_d8_v1c_latefreeze_t100", "run": "merge_headon_flip_d8_v1c_eps_m1e2_t100", "col": "M_MS_mots", "t0": 30}	${\sim}1\%$ in mass	campaign/04_binary_headon/merge_headon_flip_d8_v1c_latefreeze_t100/horizon_scan.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_m1e2_t100/horizon_scan.dat		worst |dM/M| over t >= 30 = 0.86 %; including the formation rows t = 22-25 it is 2.6 % (t = 25, where the surface jumps inward in both arms). approximate (~ / \approx in the text): tolerance one unit of the last printed digit.
clmHeadonKickedDeath	25.76	25.76		auto	mergers_death_time	{"run": "merge_headon_flip_d8_v1c_eps_p1e2_t100"}	unit ($t=25.76$ against	campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_p1e2_t100/run_tail.log		last ADVANCE 25.755 before the K NaN; the +eps member inherited V1c's fill_from_time 26.5 and died before it engaged
clmHeadonScoutDeath	26.91	26.91		auto	mergers_death_time	{"run": "merge_headon_flip_d8_v1_t100"}	against $26.91$). The seed || scout's death ($t=26.91$) || scout dies at $t=26.91$ with	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/run_tail.log		last ADVANCE 26.9125 before the h11 NaN
clmHeadonLevelFiveEnd	100	100		auto	mergers_end_time	{"run": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100"}	device, clean to $t=100$. || and runs to $t=100$ with no restart	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/run_tail.log		last ADVANCE 99.99969, no NaN (the paper's level-5 arm, level 5 from t = 0)
clmHeadonWallLeadWord	Five	5		auto	expr	{"formula": "d-m", "d": {"fn": "mergers_death_time", "run": "merge_headon_flip_d8_v1_t100"}, "m": {"fn": "first", "run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "time"}}	Five units after the horizon forms	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/run_tail.log and horizon_offline_scan.dat		26.9125 - 22.0 = 4.91
clmHeadonScoutMaxK	18	18		auto	mergers_value	{"run": "merge_headon_flip_d8_v1_t100", "file": "collapse_diagnostics.dat", "col": "max_abs_K", "at": "last"}	running away to $18$, a	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/collapse_diagnostics.dat, last row (t = 26.91)		18.15 on the last finite row (t = 26.91); one row earlier (t = 26.90) it read 209 -- the runaway peaked there, so 'running away to 18' quotes the last row, not the peak
clmHeadonMidpointLapse	1.6\times10^{-2}	1.6e-2		auto	mergers_value	{"run": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "file": "collapse_diagnostics.dat", "col": "min_lapse", "t": 26.9125}	(lapse $1.6\times10^{-2}$,	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/collapse_diagnostics.dat at the scout's death time		0.01647 on the paper's level-5 arm (the superseded seamed arm reads 0.01671)
clmHeadonMidpointChi	1.2\times10^{-6}	1.2e-6		auto	mergers_value	{"run": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "file": "collapse_diagnostics.dat", "col": "min_chi", "t": 26.9125}	$\chi=1.2\times10^{-6}$, $\max	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/collapse_diagnostics.dat at the scout's death time		MISMATCH: the paper's level-5 arm (level 5 from t = 0, the arm this sentence names) reads min chi = 6.1e-8 at t = 26.91 (4-6e-8 over t = 26.9-27.05). The printed 1.2e-6 is the SUPERSEDED seamed arm merge_headon_flip_d8_v1_lvl5_t100_r02200 at t = 27.05 (1.23e-6; GPU_PLAN §4 'Resolution alone carries the head-on past the wall': lapse 1.63e-2, chi 1.22e-6, max|K| 0.112 at t = 27.05) -- a leftover from before the arm swap; lapse and max|K| agree on both arms
clmHeadonMidpointMaxK	0.11	0.11		auto	mergers_value	{"run": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "file": "collapse_diagnostics.dat", "col": "max_abs_K", "t": 26.9125}	$\max|K|=0.11$) and	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/collapse_diagnostics.dat at the scout's death time		0.1128
clmHeadonDownStepEnd	100	100		auto	mergers_end_time	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500"}	which tracks it to $t=100$, the	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/run_tail.log		last ADVANCE 99.99875, no NaN
clmHeadonRemnantRadius	4.17	4.17		auto	mergers_mots_value	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "col": "R_mots", "t": 97}	falls to $4.17$ by	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat (live oriented scan, centre C), t = 97 row		4.1674 at t = 97 (the printed evaluation time; 4.1644 on the last row, t = 99)
clmHeadonShrink	a quarter	0.25	abs:0.025	auto	expr	{"formula": "1-r/R", "r": {"fn": "mergers_mots_value", "run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "col": "R_mots", "t": 97}, "R": {"fn": "first", "run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "R_mots"}}	a quarter below its value at formation || shrinks by a quarter as it	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat (t = 97) against campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/horizon_offline_scan.dat (t = 22)		1 - 4.167/5.564 = 0.251; the abstract's 'shrinks by a quarter' is the same number
clmHeadonRadiusSlope	-0.0066	-0.0066		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "R_slope"}	linearly ($-0.0066$ per unit)	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat; plot_headon_collapse.py FIT R_MOTS		linear fit through the down-step's 24 MOTS rows, t = 36-99: -0.00658
clmHeadonFitStart	36	36		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "t0"}	e^{-(t-36)/\tau}$ with	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat		the fit's reference time = the down-step's first MOTS row
clmHeadonMassAsymptote	2.160	2.160		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "Minf"}	$M_\infty=2.160\pm	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat; plot_headon_collapse.py FIT M_MS		M_inf + b exp(-(t-36)/tau) through the 24 MOTS rows: 2.16046
clmHeadonMassAsymptoteErr	0.006	0.006		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "Minf_err"}	\pm0.006$ and	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat; plot_headon_collapse.py		1-sigma from the fit covariance: 0.0058
clmHeadonMassTau	19.4	19.4		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "tau"}	and $\tau=19.4\pm || the $\tau=19.4$ on which	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat; plot_headon_collapse.py		19.42; the GW section's scalar-censorship comparison re-quotes it
clmHeadonMassTauErr	0.8	0.8		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "tau_err"}	\pm0.8$ (a factor	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat; plot_headon_collapse.py		0.754
clmHeadonFitRatio	4.8	4.8		auto	mergers_headon_fit	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "what": "ratio"}	factor $4.8$ better	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat; plot_headon_collapse.py		rms of a straight line / rms of the exponential fit = 4.83
clmHeadonCompactnessStart	1.23	1.23		auto	mergers_mots_compactness	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "which": "first"}	falls from $1.23$ to	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat, first MOTS row (t = 36)		2 M_MS/R = 1.2325
clmHeadonCompactnessEnd	1.05	1.05		auto	mergers_mots_compactness	{"run": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "which": "last"}	to $1.05$ over the fit window	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat, last MOTS row (t = 99)		MISMATCH: 2 M_MS/R on the fit window's last row (t = 99) is 1.0425 (B/fit.py's own 'M/(R/2)-1 range: 0.042 .. 0.232'); 1.0454 at t = 96, 1.0447 at t = 97 (the R = 4.17 reading). The text should say 1.04
clmHeadonSeamWaveMin	2.9	2.9		auto	mergers_psi4_diff	{"a": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "b": "merge_headon_flip_d8_v1_lvl5_t100_r02200", "radii": [10, 14, 18], "lo": 23, "hi": 70, "norm_lo": 23, "norm_hi": 70, "agg": "min"}	within $2.9$--	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/Weyl4_mode_20.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5_t100_r02200/Weyl4_mode_20.dat		max |Re r psi4(2,0)| difference over t = 23-70 in % of the level-5 arm's peak |Re| there: 3.68 / 2.89 / 5.37 at R = 10 / 14 / 18 (min over spheres); the audit's B/seam.py and the registry row agree
clmHeadonSeamWaveMax	5.4	5.4		auto	mergers_psi4_diff	{"a": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "b": "merge_headon_flip_d8_v1_lvl5_t100_r02200", "radii": [10, 14, 18], "lo": 23, "hi": 70, "norm_lo": 23, "norm_hi": 70, "agg": "max"}	--$5.4\%$ of peak over the burst	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/Weyl4_mode_20.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5_t100_r02200/Weyl4_mode_20.dat		max over spheres (R = 18)
clmHeadonSeamEnergyMin	3	3		auto	mergers_energy_diff	{"a": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "b": "merge_headon_flip_d8_v1_lvl5_t100_r02200", "radii": [10, 14, 18], "agg": "min"}	energies within $3$--	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100/Weyl4_mode_20.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5_t100_r02200/Weyl4_mode_20.dat; psi4_math._compute_radiated_energy		|E_level5 - E_seamed|/E_level5 = 7.9 / 2.9 / 6.7 % at R = 10/14/18 (E_level5 = 6.63/6.31/5.89e-3, registry), each arm's whole record (the seamed arm's starts at t = 22); relative to the seamed arm instead it reads 3.0-8.6 %
clmHeadonSeamEnergyMax	8	8		auto	mergers_energy_diff	{"a": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "b": "merge_headon_flip_d8_v1_lvl5_t100_r02200", "radii": [10, 14, 18], "agg": "max"}	--$8\%$---so the mesh	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5from0_scalar_t100 vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5_t100_r02200 Weyl4_mode_20.dat		max over spheres (R = 10): 7.94 %
clmHeadonDownStepMass	1.3	1.3		auto	mergers_mots_agreement	{"a": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "b": "merge_headon_flip_d8_v1c_fillnarrow_t100_r02200"}	horizon mass to $1.3\%$ and	campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/horizon_scan.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1c_fillnarrow_t100_r02200/horizon_scan.dat		MISMATCH: the down-step's horizon M_MS agrees with the level-5 fill twin to 0.24 % (worst of 24 shared MOTS times, t = 36-99) and with the paper's level-5 arm to 0.05 % (t = 36-37, the only shared rows). The printed 1.3 % is plot_headon_collapse.py's 'median |dM|/M = 1.30%', where M is the MOMENTUM-CONSTRAINT norm (down-step vs the level-5 arm), not the horizon mass
clmHeadonDownStepWaveMin	0.05	0.05		auto	mergers_psi4_diff	{"a": "merge_headon_flip_d8_v1c_fillnarrow_t100_r02200", "b": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "radii": [10, 14, 18], "lo": 45, "hi": 100, "norm": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "norm_lo": 23, "norm_hi": 70, "agg": "min"}	wave to $0.05$--	campaign/04_binary_headon/merge_headon_flip_d8_v1c_fillnarrow_t100_r02200/Weyl4_mode_20.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500/Weyl4_mode_20.dat		the down-step (level 3, no fill) against the level-5 fill twin over t = 45-100, % of the level-5 arm's burst peak: 0.053 / 0.164 / 0.331 at R = 10/14/18 (the audit's B/fill.py). Against the seamless level-5 arm itself the difference is 4.5 / 30 / 62 % (its own noisy tail after t = 70), so the comparison is within the seamed family
clmHeadonDownStepWaveMax	0.33	0.33		auto	mergers_psi4_diff	{"a": "merge_headon_flip_d8_v1c_fillnarrow_t100_r02200", "b": "merge_headon_flip_d8_v1_lvl3down_t100_r03500", "radii": [10, 14, 18], "lo": 45, "hi": 100, "norm": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "norm_lo": 23, "norm_hi": 70, "agg": "max"}	--$0.33\%$ of peak over	campaign/04_binary_headon/merge_headon_flip_d8_v1c_fillnarrow_t100_r02200 vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl3down_t100_r03500 Weyl4_mode_20.dat		max over spheres (R = 18)
clmHeadonFillTwins	0.01	0.01		auto	mergers_psi4_diff	{"a": "merge_headon_flip_d8_v1c_fillnarrow_t100_r02200", "b": "merge_headon_flip_d8_v1_lvl5_t100_r02200", "radii": [10, 14, 18], "lo": 22, "hi": 70, "norm": "merge_headon_flip_d8_v1_lvl5from0_scalar_t100", "norm_lo": 23, "norm_hi": 70, "agg": "max"}	no-fill arms to $0.01\%$ of peak. || no-fill arms agree to $0.01\%$ of the wave peak	campaign/04_binary_headon/merge_headon_flip_d8_v1c_fillnarrow_t100_r02200/Weyl4_mode_20.dat vs campaign/04_binary_headon/merge_headon_flip_d8_v1_lvl5_t100_r02200/Weyl4_mode_20.dat (same t = 22 checkpoint, fill 1.0/1.5 vs none)		0.013 % worst over R = 10/14/18 and t = 22-70; past t ~ 80 the R = 18 sphere's grid-scale wobble lifts it to 0.25 %. V1c (the other fill arm) differs from every restarted arm by 0.2-0.5 % of peak to t = 45 and by several % after (README: its own regrid phase, not the fill)
clmHalfMassMass	0.5	0.5		def	param	{"run": "merge_headon_flip_d6_m05_t100", "key": "wormhole_drainhole_mass_A"}	At $m=0.5$,	campaign/04_binary_headon/merge_headon_flip_d6_m05_t100/evolution_params.txt (and campaign/01_single_throat/hold/single_m05_t040)		
clmHalfMassSeparation	6	6		def	mergers_separation	{"run": "merge_headon_flip_d6_m05_t100"}	$d=6$, the lapse	campaign/04_binary_headon/merge_headon_flip_d6_m05_t100/evolution_params.txt		
clmHalfMassLapseHigh	0.44	0.44		auto	mergers_extreme	{"run": "merge_headon_flip_d6_m05_t100", "file": "collapse_diagnostics.dat", "col": "min_lapse", "kind": "max", "t1": 14}	falls from $0.44$ to	campaign/04_binary_headon/merge_headon_flip_d6_m05_t100/collapse_diagnostics.dat		the lapse minimum peaks at 0.437 at t = 7.40 and then falls (0.427 at t = 7.5)
clmHalfMassLapseLow	0.036	0.036		auto	mergers_value	{"run": "merge_headon_flip_d6_m05_t100", "file": "collapse_diagnostics.dat", "col": "min_lapse", "t": 13.0}	to $0.036$ over	campaign/04_binary_headon/merge_headon_flip_d6_m05_t100/collapse_diagnostics.dat (unthinned over its last unit, t >= 13)		MISMATCH: at the printed end of the window, t = 13, the lapse minimum is 0.0383 (and 0.038 is the minimum over t = 7.5-13); 0.036 is reached only at t = 13.99, the step before the NaN. The README and registry carry the same '0.036 (t = 13)'. Suggest 'from 0.44 to 0.036 over t = 7.4-14' or '... to 0.038 over t = 7.5-13'
clmHalfMassTrackerMerge	11.1	11.1		auto	mergers_tracker_merge_time	{"run": "merge_headon_flip_d6_m05_t100"}	the mouths at $t=11.1$, the	campaign/04_binary_headon/merge_headon_flip_d6_m05_t100/throat_track.dat		first row with one tracked centre (nA = nB = 8), on the dt = 0.05 thinned stream; the registry's 11.07 is the every-step value
clmHalfMassMotsTime	12	12		manual			common MOTS at $t=12$ ( || with a MOTS at $t=12$ and	results/merger/runs_registry.tsv row merge_headon_flip_d6_m05_t100 ('offline level-3 scan CONFIRMS a common MOTS at t = 12 (areal R 3.83, M_MS 2.16)'); results/merger/README.md 'Halving the mass does not avoid the horizon'		the offline level-3 oriented scan (scripts/validation/ah_oriented_scan.py) of this run's plotfiles was never packed and the plotfiles are pruned; the packed live level-1 scan only brackets a trapped window t = 12.32-13.37
clmHalfMassMotsRadius	3.83	3.83		manual			($R=3.83$), and	same registry row / README section as clmHalfMassMotsTime		offline scan output not packed (see clmHalfMassMotsTime)
clmHalfMassPairDeath	14.0	14.0		auto	mergers_death_time	{"run": "merge_headon_flip_d6_m05_t100"}	the run dies at $t=14.0$. || and death at $14.0$, was	campaign/04_binary_headon/merge_headon_flip_d6_m05_t100/run_tail.log		last ADVANCE 13.99875 before the h11 NaN
clmHalfMassLoneExact	0.02	0.02		auto	mergers_lone_throat_deviation	{"run": "single_m05_t040", "t1": 14}	exact to $0.02\%$ through	campaign/01_single_throat/hold/single_m05_t040/areal_radius.dat and evolution_params.txt		worst |R_min/R_exact - 1| for t <= 14 = 0.017 %, R_exact = 2.87172 from the drainhole formula at a = 2, m = 0.5
clmSpiralMomentumProd	0.12	0.12		def	mergers_momentum	{"run": "v2_spiral_d12_p012_L128_lvl3_t050"}	From $p=0.12$ to || repeats $p=0.12$'s endgame || The production spiral ($p=0.12$, || merging ($p=0.12$) and || collapse ($p=0.12$, || Separation: $p=0.12$ reaches || every arm of the $p=0.12$ run || doubled box the $p=0.12$ arm || Death time of the $p=0.12$ spiral	campaign/05_binary_spiral/p012_paper/v2_spiral_d12_p012_L128_lvl3_t050/evolution_params.txt (wormhole_momentumA = 0 0.12 0)		the L = 64 ladder/gauge arms (merge_orbit_flip_d12_*, merge_twin_p012_*) carry the same 0.12
clmSpiralMomentumFifteen	0.15	0.15		def	mergers_momentum	{"run": "merge_orbit_flip_d12_p015_nofill_t060"}	$p=0.15$ repeats	campaign/05_binary_spiral/p015/merge_orbit_flip_d12_p015_nofill_t060/evolution_params.txt		
clmSpiralMomentumTwenty	0.20	0.20		def	mergers_momentum	{"run": "merge_orbit_flip_d12_p020_t200"}	pits of $p=0.20$ and || approach ($p=0.20$--	campaign/05_binary_spiral/p020/merge_orbit_flip_d12_p020_t200/evolution_params.txt		
clmSpiralMomentumTwentyFive	0.25	0.25		def	mergers_momentum	{"run": "merge_orbit_flip_d12_p025_t200"}	to $0.25$ the pair plunges || and $0.25$ coincide || between $p=0.25$ and	campaign/05_binary_spiral/p025/merge_orbit_flip_d12_p025_t200/evolution_params.txt		
clmSpiralMomentumThirtyFive	0.35	0.35		def	mergers_momentum	{"run": "merge_orbit_flip_d12_p035_t200"}	At $p=0.35$ the pair || and $0.35$, || --$0.35$). Section	campaign/06_binary_flyby/p035/merge_orbit_flip_d12_p035_t200/evolution_params.txt		
clmSpiralMomentumFlyby	0.45	0.45		def	mergers_momentum	{"run": "merge_orbit_flip_d12_p045_L128_lvl5_t100"}	$p=0.45$ scatters || The $p=0.45$ fly-by || scattering ($p=0.45$) arms || contact, $p=0.45$ misses	campaign/06_binary_flyby/p045/merge_orbit_flip_d12_p045_L128_lvl5_t100/evolution_params.txt		
clmSpiralBoundaryLow	50	50		auto	mergers_circular_fraction	{"run": "merge_orbit_flip_d12_p025_t200"}	, $50$-- || escape at $50$--	campaign/05_binary_spiral/p025/merge_orbit_flip_d12_p025_t200/evolution_params.txt		p / p_circ with p_circ = m sqrt((1+Q) m / 2d) = 0.5 for a = 2, m = 1, d = 12, Q = 5 (Newtonian circular momentum under gravity plus the scalar pull, the 'combined pull'); 0.25/0.5
clmSpiralBoundaryHigh	70	70		auto	mergers_circular_fraction	{"run": "merge_orbit_flip_d12_p035_t200"}	--$70\%$ of the circular value || --$70\%$ of circular (Sec	campaign/06_binary_flyby/p035/merge_orbit_flip_d12_p035_t200/evolution_params.txt		0.35/0.5
clmSpiralPlateauFifteen	0.87	0.87		auto	mergers_sep	{"run": "merge_orbit_flip_d12_p015_nofill_t060", "what": "mode"}	separation $0.87$ against	campaign/05_binary_spiral/p015/merge_orbit_flip_d12_p015_nofill_t060/binary_throat_diagnostics.dat		the chi-pit separation the level-3 tracker holds over t = 42.5-46 before the dive (modal value in 0.3-1.5): 0.8705. The README still says 0.816 for p = 0.15 (wrong; the paper's 0.87 is right)
